Range,Position,Mean Importance,Frequency
0-4,0,0.0,1.0
0-4,1,0.1669988243084726,1.0
0-4,2,0.26228221474897745,0.9148550724637681
5-9,3,0.3403767659113156,0.8917378917378918
5-9,4,0.3225652808968369,0.9772079772079773
5-9,2,0.07434968848536772,0.6153846153846154
5-9,1,0.0875885396985525,0.2621082621082621
5-9,0,0.0,0.06267806267806268
5-9,5,0.36574205875396726,0.14245014245014245
5-9,6,0.3466688026400173,0.04843304843304843
10-14,5,0.28851955011487007,0.2
10-14,7,0.41632409766316414,0.8
10-14,8,0.3765061838286264,0.7
10-14,1,0.4783923923969269,0.1
10-14,4,0.40620848536491394,0.1
10-14,3,0.031345924362540245,0.2
10-14,6,0.30231504887342453,0.2
10-14,2,0.32060402631759644,0.1
10-14,9,0.4989100694656372,0.1
10-14,10,0.31287842243909836,0.2
10-14,11,0.4171832948923111,0.2
10-14,12,0.4018804132938385,0.1
15-19,12,0.5552026629447937,1.0
15-19,13,0.48022300004959106,1.0
15-19,8,0.19878537952899933,1.0
